site,year,id,species,basal.area.cm2,x,y,notes
McGilvra Woods,2019,2295,Tilia americana,1768.037143,75.1,16.3,
McGilvra Woods,2019,2296,Acer saccharum,240.7218514,78.1,16.8,
McGilvra Woods,2019,2297,Acer saccharum,280.7779675,79.7,18.2,
McGilvra Woods,2019,2298,Acer saccharum,159.7151685,9.1,74.2,
McGilvra Woods,2019,2300,Acer saccharum,3393.362436,77,10.5,
McGilvra Woods,2019,2301,Acer saccharum,998.2198031,81.5,11.9,
McGilvra Woods,2019,2302,Acer saccharum,253.1327539,82.9,11.9,
McGilvra Woods,2019,2304,Acer saccharum,1121.221905,84.1,15.1,
McGilvra Woods,2019,2305,Acer saccharum,554.834026,85.7,9.5,
McGilvra Woods,2019,2306,Acer saccharum,1096.797192,79.9,25.9,
McGilvra Woods,2019,2307,Ulmus rubra,660.4301476,83.7,28.4,
McGilvra Woods,2019,2308,Ulmus rubra,529.8713689,85.3,32.8,No bacon bark plus mucilaginius inner bark
McGilvra Woods,2019,2309,Acer saccharum,211.0593489,82.4,33,
McGilvra Woods,2019,2310,Acer saccharum,761.1457829,81.8,35.6,
McGilvra Woods,2019,2311,Acer saccharum,366.8847706,78.2,34.1,
McGilvra Woods,2019,2312,Acer saccharum,1098.666467,77.6,35.3,
McGilvra Woods,2019,2313,Acer saccharum,598.1751001,73.4,36,
McGilvra Woods,2019,2314,Acer saccharum,1322.196401,71.6,28.8,
McGilvra Woods,2019,2315,Acer saccharum,1008.943663,75.8,24.5,
McGilvra Woods,2019,2316,Acer saccharum,121.6588343,72.6,24.2,
McGilvra Woods,2019,2317,Acer saccharum,566.8589777,69,24.9,
McGilvra Woods,2019,2318,Acer saccharum,459.6394756,67.6,26.6,
McGilvra Woods,2019,2319,Acer saccharum,484.1493369,63.9,27.2,
McGilvra Woods,2019,2320,Prunus serotina,1437.436516,68.3,20.2,
McGilvra Woods,2019,2321,Acer saccharum,1037.820736,66.1,21.3,
McGilvra Woods,2019,2322,Acer saccharum,1480.535675,62.9,19.9,
McGilvra Woods,2019,2323,Acer saccharum,677.9435576,63.1,16,
McGilvra Woods,2019,2324,Acer saccharum,234.6333791,58.5,21.1,
McGilvra Woods,2019,2325,Tilia americana,5096.987982,53.6,18.3,3 stems. Circumferencees 160.6 and 136.8
McGilvra Woods,2019,2326,Acer saccharum,77.9612531,54.2,26,
McGilvra Woods,2019,2327,Acer saccharum,130.5269477,51.2,25.6,
McGilvra Woods,2019,2328,Acer saccharum,456.0179049,50,54.4,
McGilvra Woods,2019,2329,Acer saccharum,940.2627348,52.2,53.7,
McGilvra Woods,2019,2330,Acer saccharum,16.04600136,53.7,55.1,
McGilvra Woods,2019,2331,Acer saccharum,1831.307599,52,59.6,
McGilvra Woods,2019,2332,Acer saccharum,412.5296125,52.3,51.6,
McGilvra Woods,2019,2333,Acer saccharum,1921.729093,60,50.6,
McGilvra Woods,2019,2334,Acer saccharum,670.6184513,61.5,52.7,
McGilvra Woods,2019,2335,Acer saccharum,38.16615113,60,54.2,
McGilvra Woods,2019,2336,Acer saccharum,79.46287999,69.4,51.9,
McGilvra Woods,2019,2337,Acer saccharum,1138.288885,70.6,52.7,
McGilvra Woods,2019,2338,Acer saccharum,887.3970331,70.8,54.9,
McGilvra Woods,2019,2339,Carya cordiformis,1946.541348,74.6,60.5,
McGilvra Woods,2019,2340,Acer saccharum,184.877565,76.5,63,
McGilvra Woods,2019,2341,Acer saccharum,178.0378813,75.4,56.4,
McGilvra Woods,2019,2342,Acer saccharum,1217.669801,80.2,58.1,
McGilvra Woods,2019,2343,Acer saccharum,94.71708551,84.6,60.1,
McGilvra Woods,2019,2344,Acer saccharum,1000.003134,86.7,61.2,
McGilvra Woods,2019,2345,Acer saccharum,83.53724653,87,59,
McGilvra Woods,2019,2346,Acer saccharum,58.87459655,86.9,54.2,
McGilvra Woods,2019,2347,Acer saccharum,43.57344032,87.8,52,
McGilvra Woods,2019,2348,Acer saccharum,1245.388225,88.6,52.9,
McGilvra Woods,2019,2350,Acer saccharum,1043.280546,99.1,51.4,
McGilvra Woods,2019,2351,Acer saccharum,310.8494982,99.3,54.8,
McGilvra Woods,2019,2352,Prunus serotina,875.6712927,96.2,59.3,
McGilvra Woods,2019,2353,Acer saccharum,226.9199348,95,60.1,
McGilvra Woods,2019,2354,Acer saccharum,1113.677961,98.7,64,
McGilvra Woods,2019,2355,Acer saccharum,1627.279716,98.4,65.3,
McGilvra Woods,2019,2356,Acer saccharum,103.7061567,94.6,66.4,
McGilvra Woods,2019,2357,Acer saccharum,516.9639031,92.8,65.1,
McGilvra Woods,2019,2366,Acer saccharum,798.9609974,83.5,65.7,
McGilvra Woods,2019,2367,Acer saccharum,365.8049043,84.1,63.7,
McGilvra Woods,2019,2368,Acer saccharum,147.1387449,86.8,63.6,
McGilvra Woods,2019,2369,Acer saccharum,77.4638939,20.7,65.4,
McGilvra Woods,2019,2370,Acer saccharum,1344.859269,70,63.3,
McGilvra Woods,2019,2371,Acer saccharum,130.5269477,71.6,67.3,
McGilvra Woods,2019,2372,Acer saccharum,1257.363043,87.1,65.7,
McGilvra Woods,2019,2373,Acer saccharum,962.8874057,66,63.7,
McGilvra Woods,2019,2374,Acer saccharum,1087.474691,63.2,63.8,
McGilvra Woods,2019,2375,Acer saccharum,661.8808449,81.3,61.1,
McGilvra Woods,2019,2376,Carya cordiformis,819.8270062,56.1,64.4,
McGilvra Woods,2019,2377,Acer saccharum,2670.798199,53.7,68.9,
McGilvra Woods,2019,2378,Acer saccharum,198.9436789,51.8,64.5,
